,neighbourhood_group,price,minimum_nights,number_of_reviews,price_category,availability_365
1,Manhattan,225,1,45,Medium,355
5,Manhattan,200,3,74,Medium,129
9,Manhattan,150,1,160,Medium,188
10,Manhattan,135,5,53,Medium,6
14,Manhattan,120,90,27,Medium,0
15,Brooklyn,140,2,148,Medium,46
16,Brooklyn,215,2,198,Medium,321
17,Manhattan,140,1,260,Medium,12
21,Brooklyn,130,2,130,Medium,347
23,Brooklyn,110,2,71,Medium,304
24,Brooklyn,120,2,88,Medium,233
27,Manhattan,150,10,58,Medium,75
29,Manhattan,180,14,29,Medium,67
41,Brooklyn,120,3,15,Medium,345
42,Brooklyn,120,7,25,Medium,311
43,Manhattan,135,4,81,Medium,273
44,Manhattan,150,7,97,Medium,309
45,Brooklyn,150,29,11,Medium,95
46,Queens,130,3,248,Medium,215
47,Brooklyn,110,7,61,Medium,265
48,Brooklyn,115,3,11,Medium,0
51,Manhattan,151,2,73,Medium,302
52,Brooklyn,228,3,82,Medium,140
53,Brooklyn,144,2,328,Medium,234
54,Manhattan,200,7,19,Medium,257
55,Brooklyn,150,30,105,Medium,30
56,Manhattan,110,5,19,Medium,301
59,Manhattan,180,30,21,Medium,154
62,Manhattan,250,2,66,Medium,231
63,Brooklyn,200,30,143,Medium,297
68,Brooklyn,275,1,148,Medium,362
70,Manhattan,225,4,190,Medium,215
71,Manhattan,230,9,49,Medium,116
74,Brooklyn,105,2,105,Medium,304
75,Manhattan,190,5,21,Medium,224
76,Manhattan,200,1,142,Medium,322
79,Manhattan,150,3,167,Medium,295
80,Brooklyn,145,3,61,Medium,238
81,Manhattan,110,31,54,Medium,209
82,Manhattan,285,5,70,Medium,328
83,Brooklyn,130,6,16,Medium,38
85,Brooklyn,800,1,25,High,7
86,Brooklyn,105,3,61,Medium,272
91,Brooklyn,131,4,166,Medium,207
93,Brooklyn,250,7,21,Medium,158
95,Brooklyn,105,3,118,Medium,9
96,Manhattan,140,3,81,Medium,198
99,Brooklyn,125,7,139,Medium,311
101,Brooklyn,175,2,233,Medium,342
103,Manhattan,500,4,46,High,243
104,Brooklyn,101,3,335,Medium,152
105,Brooklyn,220,30,88,Medium,9
106,Brooklyn,125,90,162,Medium,137
109,Brooklyn,200,30,19,Medium,208
111,Brooklyn,125,2,19,Medium,250
112,Manhattan,140,7,12,Medium,164
113,Brooklyn,120,30,467,Medium,192
115,Manhattan,199,5,38,Medium,260
116,Brooklyn,325,3,324,High,107
117,Manhattan,235,6,27,Medium,199
118,Manhattan,225,1,115,Medium,299
120,Manhattan,170,2,195,Medium,318
121,Brooklyn,400,2,16,High,216
122,Manhattan,170,7,13,Medium,224
126,Manhattan,150,5,21,Medium,189
129,Manhattan,120,3,155,Medium,213
131,Manhattan,185,5,73,Medium,209
133,Manhattan,105,3,32,Medium,16
134,Manhattan,130,2,50,Medium,234
135,Manhattan,115,29,26,Medium,12
138,Brooklyn,125,3,227,Medium,163
139,Brooklyn,135,4,84,Medium,365
144,Brooklyn,115,3,124,Medium,170
145,Brooklyn,160,3,11,Medium,188
146,Brooklyn,195,4,240,Medium,214
147,Manhattan,195,3,30,Medium,248
150,Manhattan,156,4,79,Medium,307
152,Brooklyn,125,3,155,Medium,1
155,Manhattan,225,45,134,Medium,312
156,Brooklyn,125,6,27,Medium,189
157,Manhattan,219,4,126,Medium,290
158,Brooklyn,475,3,23,High,230
162,Brooklyn,135,2,309,Medium,3
163,Brooklyn,250,3,14,Medium,189
